customer_id,customer_name,net_revenue,cumulative_revenue,cumulative_pct,abc_class
C0400,Dr. Erick Costa,194622.88000000003,194622.88000000003,0.006081195622332853,A
C0099,Sra. Ana Laura Aragão,192429.8,387052.68000000005,0.012093866164287563,A
C0237,Dra. Isabelly Caldeira,182018.46,569071.14,0.017781223489057224,A
C0200,Igor Gomes,174021.69999999998,743092.84,0.023218713676392447,A
C0003,Cauã Rocha,171260.58,914353.4199999999,0.028569929778909195,A
C0074,Théo Da Costa,167274.66999999998,1081628.0899999999,0.03379660195091267,A
C0455,Yan Silva,164803.31,1246431.4,0.03894605389262664,A
C0219,Mateus Duarte,164026.3,1410457.7,0.04407122734349457,A
C0359,Luísa Brito,163782.52,1574240.22,0.0491887836330667,A
C0097,Juan Cunha,162337.61,1736577.83,0.054261192197116205,A
C0280,Larissa Melo,159954.25,1896532.08,0.059259130182997076,A
C0283,Bruna Azevedo,159152.25,2055684.33,0.06423200883932167,A
C0140,Srta. Isabela Castro,157480.43,2213164.7600000002,0.06915264972963785,A
C0315,Juliana Oliveira,153940.73,2367105.49,0.07396268898799598,A
C0308,Ravi Lucca Sales,153428.54,2520534.0300000003,0.07875672433362914,A
C0076,Caroline Silveira,152921.53999999998,2673455.5700000003,0.08353491793352036,A
C0004,Dra. Aurora Pastor,149687.77,2823143.3400000003,0.08821206900455973,A
C0231,Sra. Maria Eduarda Cavalcante,147154.79,2970298.1300000004,0.09281007446390403,A
C0254,Dr. Luigi Da Mota,144732.53999999998,3115030.6700000004,0.09733239418631855,A
C0259,Renan Ramos,142079.35,3257110.0200000005,0.10177181220974878,A
C0225,Bernardo Vasconcelos,136691.46,3393801.4800000004,0.10604287996993342,A
C0084,Gael Correia,136039.06,3529840.5400000005,0.11029356280916731,A
C0337,Henry Gabriel Camargo,133159.28,3662999.8200000003,0.11445426390766608,A
C0078,Maria Luísa Correia,132565.81,3795565.6300000004,0.11859642141475367,A
C0251,Maria Helena Fernandes,131276.54,3926842.1700000004,0.122698294331047,A
C0255,Kamilly Novais,131095.64,4057937.8100000005,0.12679451483746906,A
C0012,Eduardo Cunha,130561.94,4188499.7500000005,0.1308740593286989,A
C0311,Anna Liz Peixoto,128949.81,4317449.5600000005,0.13490323113045546,A
C0484,Arthur Borges,128127.7,4445577.260000001,0.13890671524465406,A
C0032,Levi Cunha,127945.43000000001,4573522.69,0.14290450414189726,A
C0475,Luiz Fernando Novais,126780.72,4700303.41,0.14686590045593909,A
C0096,Dra. Raquel Cassiano,126560.08,4826863.49,0.15082040264220872,A
C0102,Anna Liz Cirino,125982.42,4952845.91,0.15475685523706756,A
C0184,Srta. Bianca Vasconcelos,125948.01,5078793.92,0.158692232655455,A
C0157,Bruna Gomes,125934.02,5204727.9399999995,0.16262717294164736,A
C0100,Pietra Montenegro,125838.85,5330566.789999999,0.16655913954156304,A
C0447,Bianca Machado,125518.56000000001,5456085.349999999,0.17048109834514008,A
C0114,Beatriz Barbosa,124978.91,5581064.259999999,0.1743861952195463,A
C0289,Maria Helena Machado,124622.87999999999,5705687.139999999,0.1782801675639002,A
C0158,Esther Da Cunha,123403.95,5829091.089999999,0.18213605316439374,A
C0290,Letícia Pastor,119875.1,5948966.189999999,0.18588167615253734,A
C0357,Clarice Monteiro,119655.93,6068622.119999998,0.18962045094459756,A
C0377,Emilly Cavalcante,119624.03,6188246.1499999985,0.193358228987764,A
C0341,Oliver Mendes,119137.20999999999,6307383.3599999985,0.1970807958304135,A
C0212,Mathias Fernandes,118183.40000000001,6425566.759999999,0.2007735598811377,A
C0426,Melina Da Costa,117848.37,6543415.129999999,0.20445585556879306,A
C0479,Juliana Alves,115361.32,6658776.449999999,0.20806044077568414,A
C0342,Isabelly Marques,115244.04,6774020.489999999,0.2116613614462032,A
C0340,Thomas Santos,114884.68000000001,6888905.169999999,0.21525105353733406,A
C0077,Olívia Da Cruz,113600.06,7002505.229999999,0.21880060633178838,A
C0199,Anna Liz Carvalho,113567.78,7116073.009999999,0.2223491505038511,A
C0115,Hadassa Montenegro,113050.09,7229123.099999999,0.22588151890993127,A
C0465,Bryan Borges,112259.57,7341382.669999999,0.22938918669107278,A
C0113,Sr. Anthony Marques,111672.26,7453054.929999999,0.23287850335645158,A
C0499,Miguel Peixoto,111375.88,7564430.809999999,0.23635855931847138,A
C0270,Dra. Ester Correia,111111.98,7675542.789999999,0.23983036944873326,A
C0303,Yago Câmara,109794.86,7785337.649999999,0.24326102478579664,A
C0373,Luan Vieira,108742.62,7894080.27,0.24665880178254548,A
C0489,Emanuel Sá,108686.05,8002766.319999999,0.2500548111904252,A
C0473,Sofia Cunha,108155.15,8110921.47,0.25343423207204385,A
